x,y,z,time_board
0.09,-0.088,1.032,1728952554.0177484
0.09,-0.088,1.032,1728952554.0177507
0.09,-0.088,1.032,1728952554.0177536
0.09,-0.088,1.032,1728952554.017756
0.09,-0.088,1.032,1728952554.0177584
0.09,-0.088,1.032,1728952554.017761
0.09,-0.088,1.032,1728952554.0177636
0.09,-0.082,1.032,1728952554.017766
0.09,-0.082,1.032,1728952554.0177684
0.09,-0.082,1.032,1728952554.0177712
0.09,-0.082,1.032,1728952554.0177736
0.09,-0.082,1.032,1728952554.017776
0.09,-0.082,1.032,1728952554.0177789
0.09,-0.082,1.032,1728952554.0177813
0.09,-0.082,1.032,1728952554.0177836
0.09,-0.082,1.032,1728952554.0177863
0.09,-0.082,1.032,1728952554.017789
0.08600000000000001,-0.08,1.034,1728952554.0177913
0.08600000000000001,-0.08,1.034,1728952554.0177937
0.08600000000000001,-0.08,1.034,1728952554.0177972
0.08600000000000001,-0.08,1.034,1728952554.0177996
0.08600000000000001,-0.08,1.034,1728952554.0178022
0.08600000000000001,-0.08,1.034,1728952554.0178049
0.08600000000000001,-0.08,1.034,1728952554.0178072
0.08600000000000001,-0.08,1.034,1728952554.0178099
0.08600000000000001,-0.08,1.034,1728952554.0178125
0.08600000000000001,-0.08,1.034,1728952554.0178149
0.09,-0.082,1.03,1728952554.0178175
0.09,-0.082,1.03,1728952554.01782
0.09,-0.082,1.03,1728952554.0178225
0.09,-0.082,1.03,1728952554.017825
0.09,-0.082,1.03,1728952554.0178275
0.09,-0.082,1.03,1728952554.01783
0.09,-0.082,1.03,1728952554.0178325
0.09,-0.082,1.03,1728952554.017835
0.09,-0.082,1.03,1728952554.0178373
0.09,-0.082,1.03,1728952554.01784
0.092,-0.078,1.026,1728952554.0178423
0.092,-0.078,1.026,1728952554.017845
0.092,-0.078,1.026,1728952554.0178475
0.092,-0.078,1.026,1728952554.0178502
0.092,-0.078,1.026,1728952554.0178535
0.092,-0.078,1.026,1728952554.017856
0.092,-0.078,1.026,1728952554.0178585
0.092,-0.078,1.026,1728952554.0178611
0.092,-0.078,1.026,1728952554.0178638
0.092,-0.078,1.026,1728952554.0178664
0.092,-0.074,1.03,1728952554.0178688
0.092,-0.074,1.03,1728952554.0178714
0.092,-0.074,1.03,1728952554.017874
0.092,-0.074,1.03,1728952554.0178764
0.092,-0.074,1.03,1728952554.0178788
0.092,-0.074,1.03,1728952554.0178845
0.092,-0.074,1.03,1728952554.017887
0.092,-0.074,1.03,1728952554.0178895
0.092,-0.074,1.03,1728952554.0178921
0.092,-0.074,1.03,1728952554.0178947
0.092,-0.074,1.036,1728952554.0178971
0.092,-0.074,1.036,1728952554.0178995
0.092,-0.074,1.036,1728952554.0179021
0.092,-0.074,1.036,1728952554.4969635
0.092,-0.074,1.036,1728952554.4972415
0.092,-0.074,1.036,1728952554.497292
0.092,-0.074,1.036,1728952554.4973097
0.092,-0.074,1.036,1728952554.4973571
0.092,-0.074,1.036,1728952554.4973817
0.092,-0.074,1.036,1728952554.4974062
0.092,-0.076,1.03,1728952554.4974303
0.092,-0.076,1.03,1728952554.4974546
0.092,-0.076,1.03,1728952554.4974685
0.092,-0.076,1.03,1728952554.4974809
0.092,-0.076,1.03,1728952554.4974916
0.092,-0.076,1.03,1728952554.497502
0.092,-0.076,1.03,1728952554.4975123
0.092,-0.076,1.03,1728952554.4975233
0.092,-0.076,1.03,1728952554.497534
0.092,-0.076,1.03,1728952554.4975443
0.09,-0.078,1.038,1728952554.4975548
0.09,-0.078,1.038,1728952554.4975655
0.09,-0.078,1.038,1728952554.497576
0.09,-0.078,1.038,1728952554.4975908
0.09,-0.078,1.038,1728952554.4976015
0.09,-0.078,1.038,1728952554.497612
0.09,-0.078,1.038,1728952554.4976265
0.09,-0.078,1.038,1728952554.4976373
0.09,-0.078,1.038,1728952554.4976478
0.09,-0.078,1.038,1728952554.4976585
0.092,-0.08,1.036,1728952554.4976692
0.092,-0.08,1.036,1728952554.49768
0.092,-0.08,1.036,1728952554.4976907
0.092,-0.08,1.036,1728952554.4977093
0.092,-0.08,1.036,1728952554.4977202
0.092,-0.08,1.036,1728952554.4977307
0.092,-0.08,1.036,1728952554.4977412
0.092,-0.08,1.036,1728952554.4977517
0.092,-0.08,1.036,1728952554.4977624
0.092,-0.08,1.036,1728952554.4977727
0.09,-0.084,1.026,1728952554.4977837
0.09,-0.084,1.026,1728952554.497794
0.09,-0.084,1.026,1728952554.4978046
0.09,-0.084,1.026,1728952554.497821
0.09,-0.084,1.026,1728952554.4978335
0.09,-0.084,1.026,1728952554.4978442
0.09,-0.084,1.026,1728952554.4978547
0.09,-0.084,1.026,1728952554.4978652
0.09,-0.084,1.026,1728952554.497888
0.09,-0.084,1.026,1728952554.4978986
0.084,-0.09,1.032,1728952554.4979093
0.084,-0.09,1.032,1728952554.4979198
0.084,-0.09,1.032,1728952554.4979303
0.084,-0.09,1.032,1728952554.4979413
0.084,-0.09,1.032,1728952554.497956
0.084,-0.09,1.032,1728952554.4979699
0.084,-0.09,1.032,1728952554.4979804
0.084,-0.09,1.032,1728952554.4979908
0.084,-0.09,1.032,1728952554.4980013
0.084,-0.09,1.032,1728952554.498012
0.084,-0.08600000000000001,1.032,1728952554.4980223
0.084,-0.08600000000000001,1.032,1728952554.4980328
0.084,-0.08600000000000001,1.032,1728952554.4980433
0.084,-0.08600000000000001,1.032,1728952554.498054
0.084,-0.08600000000000001,1.032,1728952554.4980645
0.084,-0.08600000000000001,1.032,1728952554.498088
0.084,-0.08600000000000001,1.032,1728952554.4980984
0.084,-0.08600000000000001,1.032,1728952554.498109
0.084,-0.08600000000000001,1.032,1728952554.498125
0.084,-0.08600000000000001,1.032,1728952554.4981413
0.088,-0.088,1.03,1728952554.4981523
0.088,-0.088,1.03,1728952554.4981627
0.088,-0.088,1.03,1728952554.4981737
0.088,-0.088,1.03,1728952554.4981844
0.088,-0.088,1.03,1728952554.4981947
0.088,-0.088,1.03,1728952554.4982054
0.088,-0.088,1.03,1728952554.498216
0.088,-0.088,1.03,1728952554.498227
0.088,-0.088,1.03,1728952554.4982371
0.088,-0.088,1.03,1728952554.498247
0.088,-0.088,1.03,1728952554.4982562
0.08600000000000001,-0.08,1.03,1728952554.4982655
0.08600000000000001,-0.08,1.03,1728952554.498275
0.08600000000000001,-0.08,1.03,1728952554.4982846
0.08600000000000001,-0.08,1.03,1728952554.498294
0.08600000000000001,-0.08,1.03,1728952554.4983103
0.08600000000000001,-0.08,1.03,1728952554.49832
0.08600000000000001,-0.08,1.03,1728952554.4983296
0.08600000000000001,-0.08,1.03,1728952554.4983392
0.08600000000000001,-0.08,1.03,1728952554.4983487
0.08600000000000001,-0.08,1.03,1728952554.498371
0.088,-0.08600000000000001,1.026,1728952554.4983804
0.088,-0.08600000000000001,1.026,1728952554.49839
0.088,-0.08600000000000001,1.026,1728952554.4983995
0.088,-0.08600000000000001,1.026,1728952554.4984093
0.088,-0.08600000000000001,1.026,1728952554.4984207
0.088,-0.08600000000000001,1.026,1728952554.4984305
0.088,-0.08600000000000001,1.026,1728952554.49844
0.088,-0.08600000000000001,1.026,1728952554.4984496
0.088,-0.08600000000000001,1.026,1728952554.4984653
0.088,-0.08600000000000001,1.026,1728952554.4984756
0.08600000000000001,-0.088,1.032,1728952554.498485
0.08600000000000001,-0.088,1.032,1728952554.4984946
0.08600000000000001,-0.088,1.032,1728952554.498504
0.08600000000000001,-0.088,1.032,1728952554.4985137
